City_ID,City,Country,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Current Description
1301,half moon bay,US,37.4636,-122.4286,55.99,66,1,14.97,clear sky
1302,shieli,KZ,44.1667,66.75,46,68,97,14.99,overcast clouds
1303,bemidji,US,47.4736,-94.8803,53.6,32,1,5.75,clear sky
1304,thomaston,US,32.8882,-84.3266,57,44,1,4.5,clear sky
1305,bokovskaya,RU,49.229,41.8306,37.78,82,100,3.06,overcast clouds
1306,tortona,IT,44.8978,8.8637,44.01,73,9,1.5,clear sky
1307,bella union,UY,-30.2752,-57.6007,70.63,66,0,4.9,clear sky
1308,barreiras,BR,-12.1528,-44.99,79.83,53,83,3.58,broken clouds
1309,lovington,US,32.944,-103.3485,68,49,1,11.5,clear sky
1310,kysyl-syr,RU,63.8986,122.7617,-2.11,90,100,6.2,overcast clouds
1311,salou,ES,41.0766,1.1416,54,87,0,5.75,clear sky
1312,dzhebariki-khaya,RU,62.2167,135.8,3.87,81,51,3.94,broken clouds
1313,lucapa,AO,-8.4192,20.7447,64.98,98,100,1.5,overcast clouds
1314,lake city,US,30.1897,-82.6393,57.2,67,1,5.23,clear sky
1315,bom jesus do galho,BR,-19.8289,-42.3161,66.69,89,100,4.12,overcast clouds
1316,union,US,40.6334,-74.2663,60.8,29,1,13.8,clear sky
1317,pembroke,CA,45.8168,-77.1162,48.2,40,1,6.91,clear sky
1318,sunyani,GH,7.3399,-2.3268,75.07,86,100,6.42,overcast clouds
1319,jiayuguan,CN,39.8167,98.3,45.48,43,100,11.21,overcast clouds
1320,moramanga,MG,-18.9333,48.2,63.41,98,61,2.62,broken clouds
1321,miyako,JP,39.6367,141.9525,38.57,96,100,10.74,light rain
1322,sao felix do xingu,BR,-6.6447,-51.995,72.86,97,100,2.01,overcast clouds
1323,villa bruzual,VE,9.3328,-69.1208,84.36,54,95,3.38,overcast clouds
1324,kango,GA,0.1943,10.0951,72,53,100,0.98,overcast clouds
1325,tam ky,VN,15.5667,108.4833,80.6,74,40,1.34,scattered clouds
1326,terpinnya,UA,46.9697,35.4197,36.19,94,100,5.59,overcast clouds
1327,port said,EG,31.2565,32.2841,62.6,72,0,11.5,clear sky
1328,batticaloa,LK,7.7102,81.6924,79.83,80,69,3.24,broken clouds
1329,shahr-e babak,IR,30.1165,55.1186,45.45,18,1,2.19,clear sky
1330,puerto colombia,CO,10.9878,-74.9547,78.8,78,75,11.5,broken clouds
1331,ozinki,RU,51.1786,49.6769,27.66,92,100,4.12,overcast clouds
1332,pahrump,US,36.2083,-115.9839,82,8,100,1.01,overcast clouds
1333,newport,GB,51.5877,-2.9984,48,80,100,1.01,overcast clouds
1334,semirom,IR,31.4167,51.5667,35.76,42,0,1.99,clear sky
1335,fort-shevchenko,KZ,44.5086,50.263,47.43,83,10,15.52,clear sky
1336,canalete,CO,8.6761,-76.2042,77.7,88,79,5.64,broken clouds
1337,nyimba,ZM,-14.5566,30.8149,60.51,89,3,2.68,clear sky
1338,ewa beach,US,21.3156,-158.0072,80.6,54,1,14.97,clear sky
1339,boa vista,BR,2.8197,-60.6733,78.8,83,75,4.61,light rain
1340,acajutla,SV,13.5928,-89.8275,73,67,20,1.99,few clouds
1341,rafraf,TN,37.1904,10.1837,53.6,94,20,9.82,few clouds
1342,rizhao,CN,35.4275,119.4553,55.81,28,88,4.74,overcast clouds
1343,kyotera,UG,-0.6156,31.5175,63.81,93,100,0.83,overcast clouds
1344,slavyanka,RU,42.8633,131.3847,45.66,39,0,6.49,clear sky
1345,sambava,MG,-14.2667,50.1667,75.54,89,92,4.52,overcast clouds
1346,rawlins,US,41.7911,-107.2387,64.4,16,75,8.05,broken clouds
1347,zharkent,KZ,44.1628,80,49.32,44,100,4.79,overcast clouds
1348,nedjo,ET,9.5046,35.5019,64.69,42,66,1.66,broken clouds
1349,palestine,PS,31.9216,35.2033,53.01,82,0,1.14,clear sky
1350,bernardino de campos,BR,-23.0131,-49.4742,61.65,87,100,13.42,overcast clouds
1351,davila,PH,18.4726,120.5763,86,58,20,6.91,few clouds
1352,cranbrook,CA,49.4999,-115.7688,46.4,49,75,9.22,broken clouds
1353,sulangan,PH,11.1373,123.7228,82.45,63,100,9.75,overcast clouds
1354,san joaquin,US,37.9333,-121.3011,66.99,48,1,5.75,clear sky
1355,neryungri,RU,56.6709,124.6491,21.4,79,100,4.27,overcast clouds
1356,allahganj,IN,27.55,79.6833,81.5,8,3,4.45,clear sky
1357,teahupoo,PF,-17.8333,-149.2667,86,70,20,12.66,few clouds
1358,jacmel,HT,18.2342,-72.5347,75.2,88,56,5.75,broken clouds
1359,do gonbadan,IR,30.3586,50.7981,42.8,56,0,2.95,clear sky
1360,sarkand,KZ,45.41,79.9186,45.25,54,100,3.67,overcast clouds
1361,golyshmanovo,RU,56.3979,68.3728,29.91,94,100,6.76,overcast clouds
1362,shepsi,RU,44.0361,39.1489,54.57,76,100,13.49,overcast clouds
1363,lushnje,AL,40.9419,19.705,37.4,100,0,2.3,clear sky
1364,pringsewu,ID,-5.3582,104.9744,80.94,78,100,0.94,overcast clouds
1365,tabas,IR,33.5959,56.9244,56.05,25,0,1.88,clear sky
1366,oshawa,CA,43.9001,-78.8496,42.8,61,1,6.91,haze
1367,tumen,CN,42.9661,129.8425,53.31,23,0,3.89,clear sky
1368,calama,CL,-22.4667,-68.9333,60.8,33,75,6.91,broken clouds
1369,kampot,KH,10.6167,104.1833,84.2,74,40,10.36,scattered clouds
1370,abu samrah,SY,35.3029,37.1841,49.37,75,0,4,clear sky
1371,copalillo,MX,18.0333,-99.1167,79.86,33,46,5.86,scattered clouds
1372,san vicente,AR,-26.6167,-54.1333,65.3,78,64,1.95,broken clouds
1373,tortoli,IT,39.9256,9.6572,50,62,0,13.8,clear sky
1374,arak,IR,34.0917,49.6892,43.92,31,0,2.86,clear sky
1375,shakawe,BW,-18.3667,21.85,65.48,57,2,4.79,clear sky
