City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max temp,Wind Speed
432,Cachoeira Do Sul,5,BR,2021-04-03 01:10:16,86,-30.0392,-52.8939,63.21,6.71
433,Socorro,75,US,2021-04-03 01:10:59,16,31.6546,-106.3033,82.4,6.91
434,Umm Lajj,0,SA,2021-04-03 01:10:59,48,25.0213,37.2685,66.49,12.73
435,Grand Gaube,27,MU,2021-04-03 01:11:00,81,-20.0064,57.6608,79.0,3.0
436,Boshnyakovo,100,RU,2021-04-03 01:11:00,84,49.6333,142.1667,36.16,19.15
437,Goba,7,ET,2021-04-03 01:11:00,70,7.0167,39.9833,49.33,4.81
438,Monte Alegre,100,BR,2021-04-03 01:11:01,96,-2.0078,-54.0692,73.71,3.74
439,Astana,11,KZ,2021-04-03 01:11:01,91,51.1801,71.446,6.75,6.26
440,Vallenar,100,CL,2021-04-03 01:11:01,51,-28.5708,-70.7581,69.55,1.99
441,Atar,100,MR,2021-04-03 01:07:21,8,20.5169,-13.0499,86.88,3.83
442,Santa Maria,0,BR,2021-04-03 01:07:25,83,-29.6842,-53.8069,68.0,9.22
443,Jacareacanga,38,BR,2021-04-03 01:11:02,95,-6.2222,-57.7528,74.16,1.57
444,Poddorye,96,RU,2021-04-03 01:11:02,88,57.4695,31.1156,32.23,3.47
445,Irece,100,BR,2021-04-03 01:11:03,70,-11.3042,-41.8558,74.48,4.68
446,Anadyr,75,RU,2021-04-03 01:11:03,85,64.75,177.4833,6.8,26.84
447,Puerto Cabezas,35,NI,2021-04-03 01:11:03,77,14.0351,-83.3888,77.43,11.81
448,Terrasini,0,IT,2021-04-03 01:11:04,72,38.146,13.0844,60.01,2.3
449,Msanga,20,TZ,2021-04-03 01:11:04,94,-6.05,36.0333,66.2,6.91
450,Namibe,71,AO,2021-04-03 01:06:24,79,-15.1961,12.1522,77.18,5.28
